t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0.057,0.013069779,0.200882157,0.395860396,-1.162266035,2.009922302,-1.267828941,2.088631599,0.260794108,-0.089236674,9.935928275,0,0,0,0,0,0,0,0
0.058,0.013320688,0.200789136,0.40455533,-1.162266035,2.009922302,-1.271392952,2.088631599,0.262636377,-0.090839308,10.15248095,0,0,0,0,0,0,0,0
0.059,0.013571598,0.200696116,0.413250263,-1.162266035,2.009922302,-1.274956962,2.088631599,0.264478645,-0.092441943,10.36903362,0,0,0,0,0,0,0,0
0.06,0.013822507,0.200603095,0.421945197,-1.162266035,2.009922302,-1.278520972,2.088631599,0.266320914,-0.094044577,10.58558629,0,0,0,0,0,0,0,0
0.061,0.014082971,0.200562888,0.43311338,-1.162266035,2.009922302,-1.281861842,2.088631599,0.263909383,-0.084674861,10.54052519,0,0,0,0,0,0,0,0
0.062,0.014343435,0.200522681,0.444281564,-1.162266035,2.009922302,-1.285202713,2.088631599,0.261497853,-0.075305146,10.49546408,0,0,0,0,0,0,0,0
0.063,0.014603898,0.200482474,0.455449747,-1.162266035,2.009922302,-1.288543583,2.088631599,0.259086322,-0.06593543,10.45040298,0,0,0,0,0,0,0,0
0.064,0.014864362,0.200442267,0.46661793,-1.162266035,2.009922302,-1.291884453,2.088631599,0.256674791,-0.056565715,10.40534188,0,0,0,0,0,0,0,0
0.065,0.015124825,0.20040206,0.477786113,-1.162266035,2.009922302,-1.295225323,2.088631599,0.25426326,-0.047195999,10.36028077,0,0,0,0,0,0,0,0
0.066,0.015385289,0.200361853,0.488954296,-1.162266035,2.009922302,-1.298566194,2.088631599,0.251851729,-0.037826284,10.31521967,0,0,0,0,0,0,0,0
0.067,0.015645752,0.200321646,0.500122479,-1.162266035,2.009922302,-1.301907064,2.088631599,0.249440198,-0.028456568,10.27015857,0,0,0,0,0,0,0,0
0.068,0.015906216,0.200281439,0.511290662,-1.162266035,2.009922302,-1.305247934,2.088631599,0.247028667,-0.019086853,10.22509747,0,0,0,0,0,0,0,0
0.069,0.016166679,0.200241232,0.522458846,-1.162266035,2.009922302,-1.308588804,2.088631599,0.244617136,-0.009717137,10.18003636,0,0,0,0,0,0,0,0
0.07,0.016427143,0.200201025,0.533627029,-1.162266035,2.009922302,-1.311929675,2.088631599,0.242205606,-0.000347422,10.13497526,0,0,0,0,0,0,0,0
0.071,0.016687606,0.200160818,0.544795212,-1.162266035,2.009922302,-1.315270545,2.088631599,0.239794075,0.009022293,10.08991416,0,0,0,0,0,0,0,0
0.072,0.01694807,0.200120611,0.555963395,-1.162266035,2.009922302,-1.318611415,2.088631599,0.237382544,0.018392009,10.04485306,0,0,0,0,0,0,0,0
0.073,0.017208533,0.200080404,0.567131578,-1.162266035,2.009922302,-1.321952285,2.088631599,0.234971013,0.027761724,9.999791953,0,0,0,0,0,0,0,0
0.074,0.017468997,0.200040197,0.578299761,-1.162266035,2.009922302,-1.325293156,2.088631599,0.232559482,0.03713144,9.95473085,0,0,0,0,0,0,0,0
0.075,0.017729461,0.19999999,0.589467945,-1.162266035,2.009922302,-1.328634026,2.088631599,0.230147951,0.046501155,9.909669748,0,0,0,0,0,0,0,0
0.076,0.01789727,0.200275573,0.594609245,-1.162266035,2.009922302,-1.32932717,2.088631599,0.221331723,0.084345611,9.162635253,0,0,0,0,0,0,0,0
0.077,0.018065079,0.200551156,0.599750545,-1.162266035,2.009922302,-1.330020314,2.088631599,0.212515495,0.122190067,8.415600758,0,0,0,0,0,0,0,0
0.078,0.018232888,0.20082674,0.604891845,-1.162266035,2.009922302,-1.330713458,2.088631599,0.203699267,0.160034523,7.668566263,0,0,0,0,0,0,0,0
0.079,0.018400697,0.201102323,0.610033146,-1.162266035,2.009922302,-1.331406602,2.088631599,0.19488304,0.197878979,6.921531769,0,0,0,0,0,0,0,0
0.08,0.018568506,0.201377906,0.615174446,-1.162266035,2.009922302,-1.332099746,2.088631599,0.186066812,0.235723435,6.174497274,0,0,0,0,0,0,0,0
0.081,0.018736316,0.201653489,0.620315746,-1.162266035,2.009922302,-1.33279289,2.088631599,0.177250584,0.27356789,5.427462779,0,0,0,0,0,0,0,0
0.082,0.018904125,0.201929072,0.625457046,-1.162266035,2.009922302,-1.333486034,2.088631599,0.168434356,0.311412346,4.680428284,0,0,0,0,0,0,0,0
0.083,0.019071934,0.202204655,0.630598347,-1.162266035,2.009922302,-1.334179178,2.088631599,0.159618128,0.349256802,3.93339379,0,0,0,0,0,0,0,0
0.084,0.019239743,0.202480239,0.635739647,-1.162266035,2.009922302,-1.334872323,2.088631599,0.1508019,0.387101258,3.186359295,0,0,0,0,0,0,0,0
0.085,0.019407552,0.202755822,0.640880947,-1.162266035,2.009922302,-1.335565467,2.088631599,0.141985672,0.424945714,2.4393248,0,0,0,0,0,0,0,0
0.086,0.019575361,0.203031405,0.646022247,-1.162266035,2.009922302,-1.336258611,2.088631599,0.133169444,0.46279017,1.692290305,0,0,0,0,0,0,0,0
0.087,0.01974317,0.203306988,0.651163548,-1.162266035,2.009922302,-1.336951755,2.088631599,0.124353216,0.500634626,0.945255811,0,0,0,0,0,0,0,0
0.088,0.01991098,0.203582571,0.656304848,-1.162266035,2.009922302,-1.337644899,2.088631599,0.115536988,0.538479081,0.198221316,0,0,0,0,0,0,0,0
0.089,0.020078789,0.203858155,0.661446148,-1.162266035,2.009922302,-1.338338043,2.088631599,0.10672076,0.576323537,-0.548813179,0,0,0,0,0,0,0,0
0.09,0.020246598,0.204133738,0.666587448,-1.162266035,2.009922302,-1.339031187,2.088631599,0.097904532,0.614167993,-1.295847674,0,0,0,0,0,0,0,0
0.091,0.020294555,0.205046714,0.660557079,-1.162266035,2.009922302,-1.335431488,2.088631599,0.093079795,0.644057034,-1.70235688,0,0,0,0,0,0,0,0
0.092,0.020342513,0.205959691,0.654526709,-1.162266035,2.009922302,-1.331831789,2.088631599,0.088255058,0.673946075,-2.108866087,0,0,0,0,0,0,0,0
0.093,0.02039047,0.206872667,0.648496339,-1.162266035,2.009922302,-1.32823209,2.088631599,0.083430321,0.703835115,-2.515375293,0,0,0,0,0,0,0,0
0.094,0.020438428,0.207785644,0.642465969,-1.162266035,2.009922302,-1.324632391,2.088631599,0.078605584,0.733724156,-2.9218845,0,0,0,0,0,0,0,0
0.095,0.020486385,0.20869862,0.6364356,-1.162266035,2.009922302,-1.321032692,2.088631599,0.073780847,0.763613197,-3.328393707,0,0,0,0,0,0,0,0
0.096,0.020534343,0.209611597,0.63040523,-1.162266035,2.009922302,-1.317432993,2.088631599,0.06895611,0.793502237,-3.734902913,0,0,0,0,0,0,0,0
0.097,0.0205823,0.210524573,0.62437486,-1.162266035,2.009922302,-1.313833294,2.088631599,0.064131373,0.823391278,-4.14141212,0,0,0,0,0,0,0,0
0.098,0.020630258,0.21143755,0.61834449,-1.162266035,2.009922302,-1.310233595,2.088631599,0.059306636,0.853280319,-4.547921326,0,0,0,0,0,0,0,0
0.099,0.020678215,0.212350526,0.612314121,-1.162266035,2.009922302,-1.306633896,2.088631599,0.054481899,0.883169359,-4.954430533,0,0,0,0,0,0,0,0
0.1,0.020726173,0.213263503,0.606283751,-1.162266035,2.009922302,-1.303034197,2.088631599,0.049657162,0.9130584,-5.360939739,0,0,0,0,0,0,0,0
0.101,0.02077413,0.214176479,0.600253381,-1.162266035,2.009922302,-1.299434499,2.088631599,0.044832425,0.942947441,-5.767448946,0,0,0,0,0,0,0,0
0.102,0.020822088,0.215089456,0.594223011,-1.162266035,2.009922302,-1.2958348,2.088631599,0.040007688,0.972836482,-6.173958153,0,0,0,0,0,0,0,0
0.103,0.020870045,0.216002432,0.588192642,-1.162266035,2.009922302,-1.292235101,2.088631599,0.035182951,1.002725522,-6.580467359,0,0,0,0,0,0,0,0
0.104,0.020918003,0.216915409,0.582162272,-1.162266035,2.009922302,-1.288635402,2.088631599,0.030358214,1.032614563,-6.986976566,0,0,0,0,0,0,0,0
0.105,0.02096596,0.217828386,0.576131902,-1.162266035,2.009922302,-1.285035703,2.088631599,0.025533477,1.062503604,-7.393485772,0,0,0,0,0,0,0,0
0.106,0.020990611,0.218872685,0.569962782,-1.162266035,2.009922302,-1.280669042,2.088631599,0.025016898,1.058846139,-7.28249691,0,0,0,0,0,0,0,0
0.107,0.021015261,0.219916984,0.563793663,-1.162266035,2.009922302,-1.276302382,2.088631599,0.024500318,1.055188673,-7.171508048,0,0,0,0,0,0,0,0
0.108,0.021039911,0.220961284,0.557624543,-1.162266035,2.009922302,-1.271935721,2.088631599,0.023983738,1.051531208,-7.060519186,0,0,0,0,0,0,0,0
0.109,0.021064562,0.222005583,0.551455424,-1.162266035,2.009922302,-1.267569061,2.088631599,0.023467159,1.047873743,-6.949530324,0,0,0,0,0,0,0,0
0.11,0.021089212,0.223049883,0.545286304,-1.162266035,2.009922302,-1.2632024,2.088631599,0.022950579,1.044216278,-6.838541462,0,0,0,0,0,0,0,0
0.111,0.021113862,0.224094182,0.539117185,-1.162266035,2.009922302,-1.25883574,2.088631599,0.022434,1.040558813,-6.7275526,0,0,0,0,0,0,0,0
0.112,0.021138513,0.225138482,0.532948065,-1.162266035,2.009922302,-1.254469079,2.088631599,0.02191742,1.036901348,-6.616563738,0,0,0,0,0,0,0,0
0.113,0.021163163,0.226182781,0.526778945,-1.162266035,2.009922302,-1.250102419,2.088631599,0.021400841,1.033243882,-6.505574876,0,0,0,0,0,0,0,0
0.114,0.021187813,0.227227081,0.520609826,-1.162266035,2.009922302,-1.245735758,2.088631599,0.020884261,1.029586417,-6.394586014,0,0,0,0,0,0,0,0
0.115,0.021212463,0.22827138,0.514440706,-1.162266035,2.009922302,-1.241369098,2.088631599,0.020367682,1.025928952,-6.283597152,0,0,0,0,0,0,0,0
0.116,0.021237114,0.22931568,0.508271587,-1.162266035,2.009922302,-1.237002437,2.088631599,0.019851102,1.022271487,-6.17260829,0,0,0,0,0,0,0,0
0.117,0.021261764,0.230359979,0.502102467,-1.162266035,2.009922302,-1.232635776,2.088631599,0.019334523,1.018614022,-6.061619428,0,0,0,0,0,0,0,0
0.118,0.021286414,0.231404279,0.495933348,-1.162266035,2.009922302,-1.228269116,2.088631599,0.018817943,1.014956556,-5.950630566,0,0,0,0,0,0,0,0
0.119,0.021311065,0.232448578,0.489764228,-1.162266035,2.009922302,-1.223902455,2.088631599,0.018301364,1.011299091,-5.839641704,0,0,0,0,0,0,0,0
0.12,0.021335715,0.233492877,0.483595108,-1.162266035,2.009922302,-1.219535795,2.088631599,0.017784784,1.007641626,-5.728652842,0,0,0,0,0,0,0,0
0.121,0.021344608,0.234435245,0.47768333,-1.162266035,2.009922302,-1.215377363,2.088631599,0.016862995,0.998260647,-5.742380826,0,0,0,0,0,0,0,0
0.122,0.021353501,0.235377613,0.471771552,-1.162266035,2.009922302,-1.211218931,2.088631599,0.015941206,0.988879667,-5.756108811,0,0,0,0,0,0,0,0
0.123,0.021362395,0.23631998,0.465859773,-1.162266035,2.009922302,-1.207060498,2.088631599,0.015019417,0.979498688,-5.769836795,0,0,0,0,0,0,0,0
0.124,0.021371288,0.237262348,0.459947995,-1.162266035,2.009922302,-1.202902066,2.088631599,0.014097628,0.970117709,-5.78356478,0,0,0,0,0,0,0,0
0.125,0.021380181,0.238204715,0.454036216,-1.162266035,2.009922302,-1.198743634,2.088631599,0.013175838,0.960736729,-5.797292764,0,0,0,0,0,0,0,0
0.126,0.021389074,0.239147083,0.448124438,-1.162266035,2.009922302,-1.194585202,2.088631599,0.012254049,0.95135575,-5.811020749,0,0,0,0,0,0,0,0
0.127,0.021397968,0.24008945,0.44221266,-1.162266035,2.009922302,-1.19042677,2.088631599,0.01133226,0.94197477,-5.824748734,0,0,0,0,0,0,0,0
0.128,0.021406861,0.241031818,0.436300881,-1.162266035,2.009922302,-1.186268337,2.088631599,0.010410471,0.932593791,-5.838476718,0,0,0,0,0,0,0,0
0.129,0.021415754,0.241974185,0.430389103,-1.162266035,2.009922302,-1.182109905,2.088631599,0.009488682,0.923212812,-5.852204703,0,0,0,0,0,0,0,0
0.13,0.021424647,0.242916553,0.424477324,-1.162266035,2.009922302,-1.177951473,2.088631599,0.008566893,0.913831832,-5.865932687,0,0,0,0,0,0,0,0
0.131,0.021433541,0.24385892,0.418565546,-1.162266035,2.009922302,-1.173793041,2.088631599,0.007645104,0.904450853,-5.879660672,0,0,0,0,0,0,0,0
0.132,0.021442434,0.244801288,0.412653768,-1.162266035,2.009922302,-1.169634609,2.088631599,0.006723315,0.895069873,-5.893388656,0,0,0,0,0,0,0,0
0.133,0.021451327,0.245743656,0.406741989,-1.162266035,2.009922302,-1.165476177,2.088631599,0.005801526,0.885688894,-5.907116641,0,0,0,0,0,0,0,0
0.134,0.02146022,0.246686023,0.400830211,-1.162266035,2.009922302,-1.161317744,2.088631599,0.004879736,0.876307915,-5.920844625,0,0,0,0,0,0,0,0
0.135,0.021469114,0.247628391,0.394918433,-1.162266035,2.009922302,-1.157159312,2.088631599,0.003957947,0.866926935,-5.93457261,0,0,0,0,0,0,0,0
0.136,0.021472692,0.248411061,0.389105096,-1.162266035,2.009922302,-1.153490748,2.088631599,0.003947214,0.855782495,-5.919492902,0,0,0,0,0,0,0,0
0.137,0.021476269,0.249193731,0.38329176,-1.162266035,2.009922302,-1.149822183,2.088631599,0.003936481,0.844638054,-5.904413193,0,0,0,0,0,0,0,0
0.138,0.021479847,0.249976401,0.377478424,-1.162266035,2.009922302,-1.146153619,2.088631599,0.003925747,0.833493614,-5.889333485,0,0,0,0,0,0,0,0
0.139,0.021483425,0.250759071,0.371665088,-1.162266035,2.009922302,-1.142485054,2.088631599,0.003915014,0.822349173,-5.874253777,0,0,0,0,0,0,0,0
0.14,0.021487003,0.251541741,0.365851752,-1.162266035,2.009922302,-1.138816489,2.088631599,0.003904281,0.811204733,-5.859174068,0,0,0,0,0,0,0,0
0.141,0.021490581,0.252324412,0.360038415,-1.162266035,2.009922302,-1.135147925,2.088631599,0.003893547,0.800060292,-5.84409436,0,0,0,0,0,0,0,0
0.142,0.021494159,0.253107082,0.354225079,-1.162266035,2.009922302,-1.13147936,2.088631599,0.003882814,0.788915852,-5.829014651,0,0,0,0,0,0,0,0
0.143,0.021497737,0.253889752,0.348411743,-1.162266035,2.009922302,-1.127810796,2.088631599,0.003872081,0.777771411,-5.813934943,0,0,0,0,0,0,0,0
0.144,0.021501315,0.254672422,0.342598407,-1.162266035,2.009922302,-1.124142231,2.088631599,0.003861348,0.766626971,-5.798855235,0,0,0,0,0,0,0,0
0.145,0.021504893,0.255455092,0.336785071,-1.162266035,2.009922302,-1.120473667,2.088631599,0.003850614,0.75548253,-5.783775526,0,0,0,0,0,0,0,0
0.146,0.021508471,0.256237762,0.330971735,-1.162266035,2.009922302,-1.116805102,2.088631599,0.003839881,0.744338089,-5.768695818,0,0,0,0,0,0,0,0
0.147,0.021512049,0.257020433,0.325158398,-1.162266035,2.009922302,-1.113136538,2.088631599,0.003829148,0.733193649,-5.75361611,0,0,0,0,0,0,0,0
0.148,0.021515627,0.257803103,0.319345062,-1.162266035,2.009922302,-1.109467973,2.088631599,0.003818414,0.722049208,-5.738536401,0,0,0,0,0,0,0,0
0.149,0.021519205,0.258585773,0.313531726,-1.162266035,2.009922302,-1.105799408,2.088631599,0.003807681,0.710904768,-5.723456693,0,0,0,0,0,0,0,0
