time,state,x,y,z,qw,qx,qy,qz,Vx,Vy,Vz,wr,wp,wy,LF_HAA,LF_HFE,LF_KFE,RF_HAA,RF_HFE,RF_KFE,LH_HAA,LH_HFE,LH_KFE,RH_HAA,RH_HFE,RH_KFE,w_LF_HAA,w_LF_HFE,w_LF_KFE,w_RF_HAA,w_RF_HFE,w_RF_KFE,w_LH_HAA,w_LH_HFE,w_LH_KFE,w_RH_HAA,w_RH_HFE,w_RH_KFE,tau_LF_HAA,tau_LF_HFE,tau_LF_KFE,tau_RF_HAA,tau_RF_HFE,tau_RF_KFE,tau_LH_HAA,tau_LH_HFE,tau_LH_KFE,tau_RH_HAA,tau_RH_HFE,tau_RH_KFE
2026,2,-0.0195392,1.0003,0.15016,0.999988,0.00127234,-0.00459799,0.00139484,-0.539092,-0.00798713,0.881938,0.0297048,-0.108001,0.00258452,0.00570249,-1.11022,2.37434,0.0105458,-1.11181,2.3761,0.0171457,-0.899025,2.35783,0.0196929,-0.899234,2.3602,-0.0386275,6.0889,-5.63645,-0.0579693,6.0647,-5.57436,-0.0982487,4.95463,-5.89198,-0.115438,4.93959,-5.83006,-0.344617,12.5613,-21,-0.636009,12.5816,-21,-1.03476,0,-14.5465,-1.18832,0,-14.6389
2027,2,-0.0200861,1.00029,0.151053,0.999987,0.00128613,-0.00466332,0.00139602,-0.55483,-0.00825245,0.903186,0.0258071,-0.153244,0.00206124,0.00566612,-1.10408,2.3686,0.0104845,-1.10569,2.37042,0.0170494,-0.894039,2.35188,0.0195749,-0.894262,2.35432,-0.0341074,6.19972,-5.83331,-0.0645568,6.17732,-5.77216,-0.0944181,5.01865,-6.00523,-0.120463,5.00507,-5.94547,-0.34215,12.4829,-21,-0.632746,12.5035,-21,-1.02874,0,-14.3133,-1.18157,0,-14.4081
2028,2,-0.0206486,1.00028,0.151966,0.999987,0.00129802,-0.00475198,0.00139697,-0.57022,-0.00850378,0.923561,0.0222176,-0.201328,0.00153527,0.00563413,-1.09783,2.36267,0.0104169,-1.09946,2.36455,0.0169568,-0.888992,2.34582,0.0194521,-0.889228,2.34832,-0.0298803,6.3021,-6.02931,-0.0706859,6.28141,-5.96897,-0.0907491,5.07418,-6.1109,-0.125158,5.06202,-6.05306,-0.339967,12.403,-21,-0.62907,12.4239,-21,-1.02296,0,-14.0753,-1.1745,0,-14.1726
2029,2,-0.0212264,1.00027,0.152899,0.999986,0.00130817,-0.00486538,0.00139771,-0.585267,-0.00874167,0.943075,0.0189889,-0.252208,0.00100485,0.00560613,-1.09148,2.35654,0.0103434,-1.09313,2.35849,0.0168677,-0.883895,2.33966,0.019325,-0.884142,2.34221,-0.0261281,6.39624,-6.22441,-0.0762616,6.37716,-6.16481,-0.0873986,5.12139,-6.20904,-0.128984,5.11058,-6.15315,-0.338048,12.3218,-21,-0.625013,12.343,-21,-1.01741,0,-13.833,-1.16713,0,-13.9326
2030,2,-0.021819,1.00026,0.153852,0.999986,0.00131674,-0.00500489,0.00139822,-0.599978,-0.00896592,0.961738,0.0160597,-0.3058,0.000472973,0.00558173,-1.08504,2.35022,0.0102646,-1.08671,2.35222,0.0167819,-0.878754,2.33341,0.0191943,-0.879011,2.33601,-0.0226695,6.48235,-6.41865,-0.0813888,6.46481,-6.35967,-0.0842163,5.1605,-6.29983,-0.132503,5.151,-6.24564,-0.336368,12.2392,-21,-0.620604,12.2607,-21,-1.01206,0,-13.5866,-1.1595,0,-13.6885
2031,2,-0.0224262,1.00025,0.154823,0.999985,0.00132388,-0.00517186,0.0013985,-0.614358,-0.00917715,0.979562,0.0134708,-0.362054,-6.22E-05,0.00556057,-1.07852,2.34371,0.0101809,-1.0802,2.34577,0.0166991,-0.873578,2.32707,0.0190604,-0.873844,2.32973,-0.0196533,6.56064,-6.61199,-0.0859938,6.54454,-6.55358,-0.0813386,5.19171,-6.38331,-0.135221,5.18344,-6.33084,-0.334904,12.1555,-21,-0.615875,12.1772,-21,-1.00691,0,-13.3364,-1.15166,0,-13.4405
2032,2,-0.0230476,1.00024,0.155811,0.999984,0.00132977,-0.0053676,0.00139856,-0.628414,-0.00937532,0.996559,0.0111605,-0.420887,-0.000598203,0.00554228,-1.07192,2.337,0.0100928,-1.07362,2.33912,0.0166191,-0.868374,2.32065,0.018924,-0.868648,2.32336,-0.0169164,6.63136,-6.80448,-0.0901754,6.61661,-6.74653,-0.0786221,5.21523,-6.45966,-0.137668,5.20816,-6.40868,-0.333634,12.0707,-21,-0.610853,12.0926,-21,-1.00195,0,-13.0828,-1.14363,0,-13.189
2033,2,-0.0236828,1.00023,0.156815,0.999982,0.00133453,-0.00559339,0.0013984,-0.64215,-0.00956107,1.01274,0.00916063,-0.482242,-0.00113683,0.00552653,-1.06526,2.3301,0.0100008,-1.06697,2.33227,0.0165417,-0.863151,2.31415,0.0187855,-0.863431,2.31691,-0.0145784,6.69472,-6.99608,-0.0938777,6.68123,-6.93852,-0.0761858,5.23126,-6.52892,-0.139389,5.2253,-6.47945,-0.332537,11.985,-21,-0.605568,12.0071,-21,-0.997148,0,-12.8259,-1.13544,0,-12.9342
2034,2,-0.0243317,1.00022,0.157836,0.999981,0.00133831,-0.00585046,0.00139802,-0.655572,-0.00973445,1.02812,0.00741098,-0.546033,-0.0016761,0.005513,-1.05854,2.32301,0.00990524,-1.06026,2.32524,0.0164667,-0.857915,2.30759,0.0186453,-0.858201,2.3104,-0.0124957,6.75097,-7.18681,-0.0971917,6.73865,-7.12957,-0.0738954,5.23999,-6.59127,-0.140881,5.23513,-6.54309,-0.331592,11.8984,-21,-0.600047,11.9207,-21,-0.992504,0,-12.5661,-1.12713,0,-12.6765
2035,2,-0.0249938,1.00021,0.158871,0.999979,0.00134124,-0.00614002,0.00139741,-0.668686,-0.00989611,1.0427,0.00593665,-0.612201,-0.00221763,0.00550137,-1.05176,2.31572,0.00980661,-1.0535,2.31802,0.0163938,-0.852674,2.30097,0.018504,-0.852965,2.30383,-0.0107624,6.80035,-7.37666,-0.100075,6.78912,-7.31967,-0.071855,5.24164,-6.64676,-0.141726,5.2378,-6.5999,-0.33078,11.811,-21,-0.594315,11.8334,-21,-0.988001,0,-12.3037,-1.11872,0,-12.416
2036,2,-0.0256689,1.0002,0.159921,0.999977,0.00134343,-0.00646323,0.00139659,-0.681496,-0.0100462,1.05651,0.00468043,-0.680658,-0.00275983,0.00549136,-1.04494,2.30825,0.00970527,-1.04669,2.3106,0.0163229,-0.847435,2.2943,0.018362,-0.847729,2.2972,-0.00925543,6.8431,-7.56563,-0.102611,6.83289,-7.50883,-0.0699402,5.2364,-6.69555,-0.142388,5.23355,-6.64981,-0.330082,11.7229,-21,-0.588397,11.7455,-21,-0.983629,0,-12.039,-1.11024,0,-12.1531
2037,2,-0.0263567,1.00019,0.160984,0.999975,0.00134501,-0.00682122,0.00139554,-0.694009,-0.0101853,1.06955,0.00366235,-0.751338,-0.00330412,0.00548271,-1.03808,2.30059,0.00960158,-1.03984,2.303,0.0162538,-0.842205,2.28759,0.0182195,-0.842501,2.29053,-0.00804596,6.87948,-7.7537,-0.104769,6.8702,-7.69704,-0.0682426,5.22447,-6.73771,-0.142481,5.22255,-6.69312,-0.329482,11.6342,-21,-0.582316,11.657,-21,-0.979375,0,-11.7721,-1.10172,0,-11.8881
