t,x,y,r,lhx,lhy,lk,rhx,rhy,rk,dx,dy,dr,dlhx,dlhy,dlk,drhx,drhy,drk,ulhx,ulhy,ulk,urhx,urhy,urk
1.322000000000001,-0.323614554679667,0.46103344184814177,4.432735920346572,0.1839712868080708,-0.9118920721707895,1.8361920870919777,0.07413877028506656,-0.9916542290202293,1.9886456807699324,-0.3123440175162858,-1.0958433704751016,12.043288720176875,-1.27068662150601,-1.1507458002274682,2.2033649246221336,-0.9912250051941162,-0.5153110819380372,0.9829156333033885,-0.36445656819700345,-0.495391750498049,0.966241469274161,-0.5460709945476152,-0.38037053280931526,0.6595414358283831
1.324000000000001,-0.32424615249606903,0.4587992996858792,4.456858818896585,0.1814337751065777,-0.9141775147285107,1.8405676195980472,0.07218644281048475,-0.9926741715103243,1.9905909938407635,-0.3152879281557997,-1.1134211804238556,12.058114871393485,-1.2690681284219008,-1.1441741206568696,2.1905907168604317,-0.9788526638865325,-0.5109373499533914,0.9745141749340114,-0.3680323208204758,-0.49534066249880826,0.9662688737009207,-0.5494190719823236,-0.3807374544714545,0.6613370704324135
1.326000000000001,-0.3248777503124711,0.4565651575236166,4.480981717446598,0.17889626340508463,-0.916462957286232,1.8449431521041166,0.07023411533590294,-0.9936941140004194,1.9925363069115944,-0.3182318387953136,-1.1309989903726094,12.072941022610095,-1.2674496353377918,-1.1376024410862713,2.1778165090987303,-0.9664803225789488,-0.5065636179687455,0.9661127165646344,-0.3716080734439482,-0.4952895744995675,0.9662962781276805,-0.5527671494170321,-0.38110437613359377,0.6631327050364441
1.328000000000001,-0.3255093481288732,0.454331015361354,4.50510461599661,0.17635875170359155,-0.9187483998439532,1.8493186846101863,0.06828178786132114,-0.9947140564905144,1.9944816199824256,-0.3211757494348275,-1.1485768003213632,12.087767173826705,-1.2658311422536825,-1.131030761515673,2.1650423013370284,-0.9541079812713651,-0.5021898859840997,0.9577112581952573,-0.3751838260674206,-0.49523848650032676,0.9663236825544402,-0.5561152268517405,-0.381471297795733,0.6649283396404745
1.330000000000001,-0.3261535651995666,0.452024439333158,4.5292872362144365,0.17382801720241697,-0.9210072311585145,1.8536424919150585,0.06637980342198471,-0.9957162872318648,1.9963929203086335,-0.32424629984712094,-1.1663125050040495,12.102430035532375,-1.2641768947505334,-1.1245008159743062,2.152349782581141,-0.941762419042089,-0.49784411877039086,0.9493655439505815,-0.3787598077179,-0.49513934749767935,0.9662919878359657,-0.5594147185278022,-0.3818372224389382,0.666718338777769
1.332000000000001,-0.32681425278122916,0.4496233234251995,4.553547804491798,0.17130612822805474,-0.9232313297731676,1.8578987880600764,0.06454352615480657,-0.9966954007948742,1.9982598275771795,-0.3274821390885752,-1.18425429214511,12.116879773576455,-1.2624759809755586,-1.1180253412257752,2.1397638834111072,-0.9294518085692975,-0.4935348508660576,0.9410925863202161,-0.3823360882918929,-0.4949774928574501,0.966183157567531,-0.562650796609664,-0.3822018457840705,0.6685009825662805
1.334000000000001,-0.3274749403628917,0.447222207517241,4.57780837276916,0.16878423925369251,-0.9254554283878207,1.8621550842050942,0.06270724888762844,-0.9976745143578836,2.0001267348457255,-0.33071797833002947,-1.2021960792861706,12.131329511620535,-1.2607750672005837,-1.1115498664772443,2.1271779842410736,-0.9171411980965062,-0.48922558296172425,0.9328196286898506,-0.38591236886588587,-0.49481563821722085,0.9660743272990964,-0.5658868746915258,-0.3825664691292028,0.6702836263547921
1.336000000000001,-0.32813562794455425,0.4448210916092825,4.602068941046521,0.16626235027933028,-0.9276795270024738,1.8664113803501123,0.060870971620450305,-0.998653627920893,2.001993642114271,-0.33395381757148374,-1.220137866427231,12.145779249664615,-1.2590741534256091,-1.1050743917287134,2.11459208507104,-0.9048305876237147,-0.48491631505739097,0.9245466710594852,-0.38948864943987876,-0.4946537835769916,0.9659654970306616,-0.5691229527733875,-0.38293109247433504,0.6720662701433037
1.338000000000001,-0.3287963155262168,0.44241997570132396,4.626329509323883,0.16374046130496805,-0.9299036256171268,1.8706676764951302,0.059034694353272174,-0.9996327414839025,2.003860549382817,-0.337189656812938,-1.2380796535682916,12.160228987708695,-1.2573732396506343,-1.0985989169801824,2.1020061859010064,-0.8925199771509233,-0.4806070471530577,0.9162737134291198,-0.3930649300138717,-0.4944919289367623,0.9658566667622269,-0.5723590308552492,-0.38329571581946736,0.6738489139318152
1.340000000000001,-0.3294801498086358,0.43989399445706523,4.650688167025876,0.16123049974280762,-0.932083474483225,1.8748379740743466,0.05728296929550069,-1.0005824278575488,2.005670978035231,-0.3406056461794126,-1.2563190915860614,12.174385311068159,-1.2556286015035407,-1.0921906514263775,2.089552356830712,-0.8802452382269971,-0.47634777067325973,0.9081000831800492,-0.3966398069490194,-0.49425128275536856,0.9656511884736692,-0.575505845759796,-0.3836616918222005,0.6756238967066143
