t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0.054,-0.017430025,0.215472923,-0.392581573,-0.95,2.077176041,-1.2068,2.394,-0.279997636,0.239603019,-5.030552003,0,0,9.569902805,2.249040207,0,0,0,0
0.055,-0.017714588,0.215713802,-0.397746075,-0.945,2.077176041,-1.2064,2.395,-0.27692622,0.23969422,-4.927224409,0,0,9.499073775,2.142895081,0,0,0,0
0.056,-0.017999151,0.215954681,-0.402910577,-0.94,2.077176041,-1.206,2.396,-0.273854804,0.239785421,-4.823896815,0,0,9.428244745,2.036749955,0,0,0,0
0.057,-0.018283715,0.21619556,-0.408075079,-0.935,2.077176041,-1.2056,2.397,-0.270783389,0.239876622,-4.720569221,0,0,9.357415715,1.930604828,0,0,0,0
0.058,-0.018568278,0.216436439,-0.413239581,-0.93,2.077176041,-1.2052,2.398,-0.267711973,0.239967823,-4.617241627,0,0,9.286586685,1.824459702,0,0,0,0
0.059,-0.018852841,0.216677318,-0.418404083,-0.925,2.077176041,-1.2048,2.399,-0.264640558,0.240059024,-4.513914033,0,0,9.215757656,1.718314576,0,0,0,0
0.06,-0.019137405,0.216918196,-0.423568585,-0.92,2.077176041,-1.2044,2.4,-0.261569142,0.240150225,-4.41058644,0,0,9.144928626,1.61216945,0,0,0,0
0.061,-0.01937609,0.217152286,-0.427301041,-0.915,2.077176041,-1.204,2.401,-0.258519701,0.239175002,-4.322414651,0,0,9.014101722,1.543115387,0,0,0,0
0.062,-0.019614775,0.217386376,-0.431033497,-0.91,2.077176041,-1.2036,2.402,-0.25547026,0.238199779,-4.234242862,0,0,8.883274818,1.474061324,0,0,0,0
0.063,-0.01985346,0.217620466,-0.434765952,-0.905,2.077176041,-1.2032,2.403,-0.252420819,0.237224557,-4.146071073,0,0,8.752447914,1.405007261,0,0,0,0
0.064,-0.020092145,0.217854555,-0.438498408,-0.9,2.077176041,-1.2028,2.404,-0.249371378,0.236249334,-4.057899284,0,0,8.62162101,1.335953199,0,0,0,0
0.065,-0.020330831,0.218088645,-0.442230864,-0.895,2.077176041,-1.2024,2.405,-0.246321937,0.235274111,-3.969727495,0,0,8.490794107,1.266899136,0,0,0,0
0.066,-0.020569516,0.218322735,-0.44596332,-0.89,2.077176041,-1.202,2.406,-0.243272496,0.234298889,-3.881555706,0,0,8.359967203,1.197845073,0,0,0,0
0.067,-0.020808201,0.218556824,-0.449695775,-0.885,2.077176041,-1.2016,2.407,-0.240223055,0.233323666,-3.793383918,0,0,8.229140299,1.12879101,0,0,0,0
0.068,-0.021046886,0.218790914,-0.453428231,-0.88,2.077176041,-1.2012,2.408,-0.237173614,0.232348443,-3.705212129,0,0,8.098313395,1.059736947,0,0,0,0
